23:00:22.780 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Updating booking **************
23:00:23.091 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is updated **************
23:00:23.097 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Updating booking with invalid data **************
23:00:23.541 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished updating booking with invalid data **************
23:00:23.545 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Partially updating booking **************
23:00:23.854 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is updated **************
23:00:23.857 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Partially updating non existing booking **************
23:00:23.999 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished partially updating non existing booking **************
23:00:24.002 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Deleting booking **************
23:00:24.300 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is deleted **************
23:00:24.303 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Partially updating booking with invalid data **************
23:00:24.696 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished partially updating booking with invalid data **************
23:00:24.700 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Deleting non existing booking **************
23:00:24.834 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished deleting non existing booking **************
23:01:52.661 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Health Check **************
23:01:52.835 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Health Check is done **************
23:01:52.851 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Creating Booking **************
23:01:53.290 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is created **************
23:01:53.452 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Creating Booking with missing fields **************
23:01:53.597 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished creating booking with missing fields **************
23:01:53.601 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Creating booking with invalid fields **************
23:01:53.738 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished creating booking with invalid fields **************
23:01:53.743 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking **************
23:01:53.883 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is displayed **************
23:01:53.887 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting all bookings **************
23:01:54.241 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** All bookings are displayed **************
23:01:54.245 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Getting booking with invalid id **************
